Date,zone,centre,Gram Dal_Price
12-05-93,4,PONDICHERRY,NA
19-05-93,1,HISAR,850
19-05-93,1,KARNAL,1300
19-05-93,1,SHIMLA,1097
19-05-93,1,MANDI,1085
19-05-93,1,SRINAGAR,NA
19-05-93,1,JAMMU,1120
19-05-93,1,AMRITSAR,1075
19-05-93,1,LUDHIANA,1000
19-05-93,1,LUCKNOW,925
19-05-93,1,KANPUR,1025
19-05-93,1,CHANDIGARH,NA
19-05-93,1,DELHI,1000
19-05-93,2,AHMEDABAD,NA
19-05-93,2,RAJKOT,1025
19-05-93,2,PANAJI,NA
19-05-93,2,BHOPAL,1020
19-05-93,2,INDORE,1020
19-05-93,2,MUMBAI,975
19-05-93,2,NAGPUR,1200
19-05-93,2,JAIPUR,960
19-05-93,2,JODHPUR,940
19-05-93,3,GUWAHATI,1060
19-05-93,3,PATNA,NA
19-05-93,3,SHILLONG,NA
19-05-93,3,AIZAWL,1300
19-05-93,3,BHUBANESHWAR,1140
19-05-93,3,CUTTACK,1082
19-05-93,3,KOLKATA,1000
19-05-93,3,AGARTALA,NA
19-05-93,4,HYDERABAD,1080
19-05-93,4,VIJAYAWADA,975
19-05-93,4,BANGALORE,1260
19-05-93,4,THIRUVANANTHAPURAM,NA
19-05-93,4,ERNAKULAM,NA
19-05-93,4,CHENNAI,1074
19-05-93,4,MADURAI,1100
19-05-93,4,PONDICHERRY,NA
26-05-93,1,HISAR,950
26-05-93,1,KARNAL,1300
26-05-93,1,SHIMLA,1097
26-05-93,1,MANDI,1085
26-05-93,1,SRINAGAR,NA
26-05-93,1,JAMMU,1200
26-05-93,1,AMRITSAR,NA
26-05-93,1,LUDHIANA,NA
26-05-93,1,LUCKNOW,925
26-05-93,1,KANPUR,1025
26-05-93,1,CHANDIGARH,NA
26-05-93,1,DELHI,1000
26-05-93,2,AHMEDABAD,1150
26-05-93,2,RAJKOT,1100
26-05-93,2,PANAJI,1150
26-05-93,2,BHOPAL,1100
26-05-93,2,INDORE,1020
26-05-93,2,MUMBAI,1075
26-05-93,2,NAGPUR,1200
26-05-93,2,JAIPUR,960
26-05-93,2,JODHPUR,980
26-05-93,3,GUWAHATI,1060
26-05-93,3,PATNA,NA
26-05-93,3,SHILLONG,1150
26-05-93,3,AIZAWL,NA
26-05-93,3,BHUBANESHWAR,1165
26-05-93,3,CUTTACK,1160
