Date,Centre_Name,Commodity_Name,Price
09-01-09,HYDERABAD,Gram Dal,NA
12-01-09,CHANDIGARH,Gram Dal,NA
12-01-09,DELHI,Gram Dal,2975
12-01-09,SHIMLA,Gram Dal,NA
12-01-09,SRINAGAR,Gram Dal,NA
12-01-09,JAMMU,Gram Dal,NA
12-01-09,AMRITSAR,Gram Dal,NA
12-01-09,LUDHIANA,Gram Dal,NA
12-01-09,LUCKNOW,Gram Dal,NA
12-01-09,DEHRADUN,Gram Dal,NA
12-01-09,RAIPUR,Gram Dal,NA
12-01-09,AHMEDABAD,Gram Dal,NA
12-01-09,BHOPAL,Gram Dal,NA
12-01-09,MUMBAI,Gram Dal,NA
12-01-09,JAIPUR,Gram Dal,NA
12-01-09,PATNA,Gram Dal,NA
12-01-09,RANCHI,Gram Dal,NA
12-01-09,BHUBANESHWAR,Gram Dal,3000
12-01-09,KOLKATA,Gram Dal,NA
12-01-09,GUWAHATI,Gram Dal,NA
12-01-09,SHILLONG,Gram Dal,NA
12-01-09,AIZWAL,Gram Dal,NA
12-01-09,KOHIMA,Gram Dal,NA
12-01-09,AGARTALA,Gram Dal,NA
12-01-09,BENGALURU,Gram Dal,2700
12-01-09,T.PURAM,Gram Dal,NA
12-01-09,CHENNAI,Gram Dal,2600
12-01-09,HYDERABAD,Gram Dal,NA
13-01-09,CHANDIGARH,Gram Dal,NA
13-01-09,DELHI,Gram Dal,2975
13-01-09,SHIMLA,Gram Dal,NA
13-01-09,SRINAGAR,Gram Dal,NA
13-01-09,JAMMU,Gram Dal,NA
13-01-09,AMRITSAR,Gram Dal,NA
13-01-09,LUDHIANA,Gram Dal,NA
13-01-09,LUCKNOW,Gram Dal,NA
13-01-09,DEHRADUN,Gram Dal,NA
13-01-09,RAIPUR,Gram Dal,NA
13-01-09,AHMEDABAD,Gram Dal,NA
13-01-09,BHOPAL,Gram Dal,NA
13-01-09,MUMBAI,Gram Dal,NA
13-01-09,JAIPUR,Gram Dal,NA
13-01-09,PATNA,Gram Dal,NA
13-01-09,RANCHI,Gram Dal,NA
13-01-09,BHUBANESHWAR,Gram Dal,NA
13-01-09,KOLKATA,Gram Dal,NA
13-01-09,GUWAHATI,Gram Dal,NA
13-01-09,SHILLONG,Gram Dal,NA
13-01-09,AIZWAL,Gram Dal,NA
13-01-09,KOHIMA,Gram Dal,NA
13-01-09,AGARTALA,Gram Dal,NA
13-01-09,BENGALURU,Gram Dal,NA
13-01-09,T.PURAM,Gram Dal,NA
13-01-09,CHENNAI,Gram Dal,NA
13-01-09,HYDERABAD,Gram Dal,NA
14-01-09,CHANDIGARH,Gram Dal,NA
14-01-09,DELHI,Gram Dal,2975
14-01-09,SHIMLA,Gram Dal,NA
14-01-09,SRINAGAR,Gram Dal,NA
14-01-09,JAMMU,Gram Dal,NA
14-01-09,AMRITSAR,Gram Dal,NA
14-01-09,LUDHIANA,Gram Dal,NA
14-01-09,LUCKNOW,Gram Dal,NA
14-01-09,DEHRADUN,Gram Dal,NA
14-01-09,RAIPUR,Gram Dal,NA
14-01-09,AHMEDABAD,Gram Dal,NA
14-01-09,BHOPAL,Gram Dal,NA
14-01-09,MUMBAI,Gram Dal,NA
14-01-09,JAIPUR,Gram Dal,NA
14-01-09,PATNA,Gram Dal,NA
14-01-09,RANCHI,Gram Dal,NA
14-01-09,BHUBANESHWAR,Gram Dal,3000
14-01-09,KOLKATA,Gram Dal,NA
14-01-09,GUWAHATI,Gram Dal,NA
14-01-09,SHILLONG,Gram Dal,NA
14-01-09,AIZWAL,Gram Dal,NA
14-01-09,KOHIMA,Gram Dal,NA
14-01-09,AGARTALA,Gram Dal,NA
14-01-09,BENGALURU,Gram Dal,NA
14-01-09,T.PURAM,Gram Dal,NA
14-01-09,CHENNAI,Gram Dal,NA
14-01-09,HYDERABAD,Gram Dal,NA
15-01-09,CHANDIGARH,Gram Dal,NA
15-01-09,DELHI,Gram Dal,2975
15-01-09,SHIMLA,Gram Dal,NA
15-01-09,SRINAGAR,Gram Dal,NA
15-01-09,JAMMU,Gram Dal,NA
15-01-09,AMRITSAR,Gram Dal,NA
15-01-09,LUDHIANA,Gram Dal,NA
15-01-09,LUCKNOW,Gram Dal,NA
15-01-09,DEHRADUN,Gram Dal,NA
15-01-09,RAIPUR,Gram Dal,NA
15-01-09,AHMEDABAD,Gram Dal,NA
15-01-09,BHOPAL,Gram Dal,NA
15-01-09,MUMBAI,Gram Dal,NA
15-01-09,JAIPUR,Gram Dal,2400
15-01-09,PATNA,Gram Dal,NA
15-01-09,RANCHI,Gram Dal,NA
15-01-09,BHUBANESHWAR,Gram Dal,NA
15-01-09,KOLKATA,Gram Dal,NA
15-01-09,GUWAHATI,Gram Dal,NA
15-01-09,SHILLONG,Gram Dal,NA
15-01-09,AIZWAL,Gram Dal,NA
15-01-09,KOHIMA,Gram Dal,NA
15-01-09,AGARTALA,Gram Dal,NA
15-01-09,BENGALURU,Gram Dal,2700
15-01-09,T.PURAM,Gram Dal,NA
15-01-09,CHENNAI,Gram Dal,NA
15-01-09,HYDERABAD,Gram Dal,NA
16-01-09,CHANDIGARH,Gram Dal,NA
16-01-09,DELHI,Gram Dal,2975
16-01-09,SHIMLA,Gram Dal,NA
16-01-09,SRINAGAR,Gram Dal,NA
16-01-09,JAMMU,Gram Dal,NA
16-01-09,AMRITSAR,Gram Dal,NA
16-01-09,LUDHIANA,Gram Dal,NA
16-01-09,LUCKNOW,Gram Dal,NA
16-01-09,DEHRADUN,Gram Dal,NA
16-01-09,RAIPUR,Gram Dal,NA
16-01-09,AHMEDABAD,Gram Dal,NA
16-01-09,BHOPAL,Gram Dal,NA
16-01-09,MUMBAI,Gram Dal,NA
16-01-09,JAIPUR,Gram Dal,2400
16-01-09,PATNA,Gram Dal,NA
16-01-09,RANCHI,Gram Dal,NA
16-01-09,BHUBANESHWAR,Gram Dal,3000
16-01-09,KOLKATA,Gram Dal,NA
16-01-09,GUWAHATI,Gram Dal,NA
16-01-09,SHILLONG,Gram Dal,NA
16-01-09,AIZWAL,Gram Dal,NA
16-01-09,KOHIMA,Gram Dal,NA
16-01-09,AGARTALA,Gram Dal,NA
16-01-09,BENGALURU,Gram Dal,NA
16-01-09,T.PURAM,Gram Dal,NA
16-01-09,CHENNAI,Gram Dal,NA
16-01-09,HYDERABAD,Gram Dal,NA
19-01-09,CHANDIGARH,Gram Dal,NA
19-01-09,DELHI,Gram Dal,2975
19-01-09,SHIMLA,Gram Dal,NA
19-01-09,SRINAGAR,Gram Dal,NA
19-01-09,JAMMU,Gram Dal,NA
19-01-09,AMRITSAR,Gram Dal,NA
19-01-09,LUDHIANA,Gram Dal,NA
19-01-09,LUCKNOW,Gram Dal,NA
19-01-09,DEHRADUN,Gram Dal,NA
19-01-09,RAIPUR,Gram Dal,NA
19-01-09,AHMEDABAD,Gram Dal,NA
19-01-09,BHOPAL,Gram Dal,NA
19-01-09,MUMBAI,Gram Dal,NA
19-01-09,JAIPUR,Gram Dal,2450
19-01-09,PATNA,Gram Dal,NA
19-01-09,RANCHI,Gram Dal,NA
19-01-09,BHUBANESHWAR,Gram Dal,3000
19-01-09,KOLKATA,Gram Dal,NA
19-01-09,GUWAHATI,Gram Dal,NA
19-01-09,SHILLONG,Gram Dal,NA
19-01-09,AIZWAL,Gram Dal,NA
19-01-09,KOHIMA,Gram Dal,NA
19-01-09,AGARTALA,Gram Dal,NA
19-01-09,BENGALURU,Gram Dal,2700
19-01-09,T.PURAM,Gram Dal,NA
19-01-09,CHENNAI,Gram Dal,2600
19-01-09,HYDERABAD,Gram Dal,NA
20-01-09,CHANDIGARH,Gram Dal,NA
20-01-09,DELHI,Gram Dal,2975
20-01-09,SHIMLA,Gram Dal,NA
20-01-09,SRINAGAR,Gram Dal,NA
20-01-09,JAMMU,Gram Dal,NA
20-01-09,AMRITSAR,Gram Dal,NA
20-01-09,LUDHIANA,Gram Dal,NA
20-01-09,LUCKNOW,Gram Dal,NA
20-01-09,DEHRADUN,Gram Dal,NA
20-01-09,RAIPUR,Gram Dal,NA
20-01-09,AHMEDABAD,Gram Dal,NA
20-01-09,BHOPAL,Gram Dal,NA
20-01-09,MUMBAI,Gram Dal,NA
20-01-09,JAIPUR,Gram Dal,NA
20-01-09,PATNA,Gram Dal,NA
20-01-09,RANCHI,Gram Dal,NA
20-01-09,BHUBANESHWAR,Gram Dal,3000
20-01-09,KOLKATA,Gram Dal,NA
20-01-09,GUWAHATI,Gram Dal,NA
20-01-09,SHILLONG,Gram Dal,NA
20-01-09,AIZWAL,Gram Dal,NA
20-01-09,KOHIMA,Gram Dal,NA
20-01-09,AGARTALA,Gram Dal,NA
20-01-09,BENGALURU,Gram Dal,NA
20-01-09,T.PURAM,Gram Dal,NA
20-01-09,CHENNAI,Gram Dal,2600
20-01-09,HYDERABAD,Gram Dal,NA
21-01-09,CHANDIGARH,Gram Dal,NA
21-01-09,DELHI,Gram Dal,2975
21-01-09,SHIMLA,Gram Dal,NA
21-01-09,SRINAGAR,Gram Dal,NA
21-01-09,JAMMU,Gram Dal,NA
21-01-09,AMRITSAR,Gram Dal,NA
21-01-09,LUDHIANA,Gram Dal,NA
21-01-09,LUCKNOW,Gram Dal,NA
21-01-09,DEHRADUN,Gram Dal,NA
21-01-09,RAIPUR,Gram Dal,NA
21-01-09,AHMEDABAD,Gram Dal,NA
21-01-09,BHOPAL,Gram Dal,NA
21-01-09,MUMBAI,Gram Dal,NA
21-01-09,JAIPUR,Gram Dal,2500
21-01-09,PATNA,Gram Dal,NA
21-01-09,RANCHI,Gram Dal,NA
21-01-09,BHUBANESHWAR,Gram Dal,3000
21-01-09,KOLKATA,Gram Dal,NA
21-01-09,GUWAHATI,Gram Dal,NA
21-01-09,SHILLONG,Gram Dal,NA
21-01-09,AIZWAL,Gram Dal,NA
21-01-09,KOHIMA,Gram Dal,NA
21-01-09,AGARTALA,Gram Dal,NA
21-01-09,BENGALURU,Gram Dal,2700
21-01-09,T.PURAM,Gram Dal,NA
21-01-09,CHENNAI,Gram Dal,NA
21-01-09,HYDERABAD,Gram Dal,NA
22-01-09,CHANDIGARH,Gram Dal,NA
22-01-09,DELHI,Gram Dal,2975
22-01-09,SHIMLA,Gram Dal,NA
22-01-09,SRINAGAR,Gram Dal,NA
22-01-09,JAMMU,Gram Dal,NA
22-01-09,AMRITSAR,Gram Dal,2500
22-01-09,LUDHIANA,Gram Dal,3000
22-01-09,LUCKNOW,Gram Dal,NA
22-01-09,DEHRADUN,Gram Dal,NA
22-01-09,RAIPUR,Gram Dal,NA
22-01-09,AHMEDABAD,Gram Dal,NA
22-01-09,BHOPAL,Gram Dal,NA
22-01-09,MUMBAI,Gram Dal,NA
22-01-09,JAIPUR,Gram Dal,2700
22-01-09,PATNA,Gram Dal,NA
22-01-09,RANCHI,Gram Dal,NA
22-01-09,BHUBANESHWAR,Gram Dal,3000
22-01-09,KOLKATA,Gram Dal,NA
22-01-09,GUWAHATI,Gram Dal,NA
22-01-09,SHILLONG,Gram Dal,NA
22-01-09,AIZWAL,Gram Dal,NA
22-01-09,KOHIMA,Gram Dal,NA
22-01-09,AGARTALA,Gram Dal,NA
22-01-09,BENGALURU,Gram Dal,2700
22-01-09,T.PURAM,Gram Dal,NA
22-01-09,CHENNAI,Gram Dal,2600
22-01-09,HYDERABAD,Gram Dal,NA
23-01-09,CHANDIGARH,Gram Dal,NA
23-01-09,DELHI,Gram Dal,2950
23-01-09,SHIMLA,Gram Dal,NA
23-01-09,SRINAGAR,Gram Dal,NA
23-01-09,JAMMU,Gram Dal,NA
23-01-09,AMRITSAR,Gram Dal,2500
23-01-09,LUDHIANA,Gram Dal,3000
23-01-09,LUCKNOW,Gram Dal,NA
23-01-09,DEHRADUN,Gram Dal,NA
23-01-09,RAIPUR,Gram Dal,NA
23-01-09,AHMEDABAD,Gram Dal,NA
23-01-09,BHOPAL,Gram Dal,NA
23-01-09,MUMBAI,Gram Dal,NA
23-01-09,JAIPUR,Gram Dal,NA
23-01-09,PATNA,Gram Dal,NA
23-01-09,RANCHI,Gram Dal,NA
23-01-09,BHUBANESHWAR,Gram Dal,NA
23-01-09,KOLKATA,Gram Dal,NA
23-01-09,GUWAHATI,Gram Dal,NA
23-01-09,SHILLONG,Gram Dal,NA
23-01-09,AIZWAL,Gram Dal,NA
23-01-09,KOHIMA,Gram Dal,NA
23-01-09,AGARTALA,Gram Dal,NA
23-01-09,BENGALURU,Gram Dal,NA
23-01-09,T.PURAM,Gram Dal,NA
23-01-09,CHENNAI,Gram Dal,2600
23-01-09,HYDERABAD,Gram Dal,NA
27-01-09,CHANDIGARH,Gram Dal,NA
27-01-09,DELHI,Gram Dal,2900
