Date,"Index Value",High,Low,"Previous Close"
"05 May 15",-2.62,0,0,0
"06 May 15",-3.53,0,0,0
"07 May 15",-5.1,0,0,0
"08 May 15",-6.28,0,0,0
"09 May 15",-8.1,0,0,0
"10 May 15",-9.77,0,0,0
"11 May 15",-10.7,0,0,0
"12 May 15",-9.61,0,0,0
"13 May 15",-7.86,0,0,0
"14 May 15",-5.67,0,0,0
"15 May 15",-5.15,0,0,0
"16 May 15",-3.05,0,0,0
"17 May 15",-0.78,0,0,0
"18 May 15",0.98,0,0,0
"19 May 15",0.12,0,0,0
"20 May 15",-0.87,0,0,0
"21 May 15",-2.84,0,0,0
"22 May 15",-4.2,0,0,0
"23 May 15",-3.04,0,0,0
"24 May 15",-2.94,0,0,0
"25 May 15",-4.35,0,0,0
"26 May 15",-4.42,0,0,0
"27 May 15",-5.86,0,0,0
"28 May 15",-6.18,0,0,0
"29 May 15",-7.44,0,0,0
"30 May 15",-7.5,0,0,0
"31 May 15",-7.88,0,0,0
"01 Jun 15",5.4,0,0,0
"02 Jun 15",5.42,0,0,0
"03 Jun 15",4.62,0,0,0
"04 Jun 15",3.26,0,0,0
"05 Jun 15",2.52,0,0,0
"06 Jun 15",2.83,0,0,0
"07 Jun 15",1.86,0,0,0
"08 Jun 15",3.07,0,0,0
"09 Jun 15",3.74,0,0,0
"10 Jun 15",5.41,0,0,0
"11 Jun 15",5.3,0,0,0
"12 Jun 15",6.96,0,0,0
"13 Jun 15",9.19,0,0,0
"14 Jun 15",12.22,0,0,0
"15 Jun 15",12.23,0,0,0
"16 Jun 15",11.87,0,0,0
"17 Jun 15",9.76,0,0,0
"18 Jun 15",10.52,0,0,0
"19 Jun 15",13.4,0,0,0
"20 Jun 15",16.95,0,0,0
"21 Jun 15",21.96,0,0,0
"22 Jun 15",28.38,0,0,0
"23 Jun 15",31.73,0,0,0
"24 Jun 15",34.58,0,0,0
"25 Jun 15",40.47,0,0,0
"26 Jun 15",41.49,0,0,0
"27 Jun 15",39.03,0,0,0
"28 Jun 15",35.4,0,0,0
"29 Jun 15",32.09,0,0,0
"30 Jun 15",30.95,0,0,0
"01 Jul 15",-2.34,0,0,0
"02 Jul 15",-7.85,0,0,0
"03 Jul 15",-13.07,0,0,0
"04 Jul 15",-15.8,0,0,0
"05 Jul 15",-22.17,0,0,0
"06 Jul 15",-24.12,0,0,0
"07 Jul 15",-28.06,0,0,0
"08 Jul 15",-33.22,0,0,0
"09 Jul 15",-34.97,0,0,0
"10 Jul 15",-31.15,0,0,0
"11 Jul 15",-27.97,0,0,0
"12 Jul 15",-28.59,0,0,0
"13 Jul 15",-33.46,0,0,0
"14 Jul 15",-39.74,0,0,0
"15 Jul 15",-42.75,0,0,0
"16 Jul 15",-44.02,0,0,0
"17 Jul 15",-46.55,0,0,0
"18 Jul 15",-49.48,0,0,0
"19 Jul 15",-49.44,0,0,0
"20 Jul 15",-49.14,0,0,0
"21 Jul 15",-51.29,0,0,0
"22 Jul 15",-52.15,0,0,0
"23 Jul 15",-50.89,0,0,0
"24 Jul 15",-51.06,0,0,0
"25 Jul 15",-50.24,0,0,0
"26 Jul 15",-47.24,0,0,0
"27 Jul 15",-46.2,0,0,0
"28 Jul 15",-43.51,0,0,0
"29 Jul 15",-44.66,0,0,0
"30 Jul 15",-51.34,0,0,0
"31 Jul 15",-56.08,0,0,0
"01 Aug 15",0.17,0,0,0
"02 Aug 15",-4.1,0,0,0
"03 Aug 15",-5.15,0,0,0
"04 Aug 15",-6.86,0,0,0
"05 Aug 15",-5.67,0,0,0
"06 Aug 15",-7,0,0,0
"07 Aug 15",-12.02,0,0,0
"08 Aug 15",-16.4,0,0,0
"09 Aug 15",-21.05,0,0,0
"10 Aug 15",-25.42,0,0,0
"11 Aug 15",-26.92,0,0,0
"12 Aug 15",-26.25,0,0,0
"13 Aug 15",-27.8,0,0,0
"14 Aug 15",-31.18,0,0,0
"15 Aug 15",-32.94,0,0,0
"16 Aug 15",-31.42,0,0,0
"17 Aug 15",-29.44,0,0,0
"18 Aug 15",-26.17,0,0,0
"19 Aug 15",-24.76,0,0,0
"20 Aug 15",-25.46,0,0,0
"21 Aug 15",-24.74,0,0,0
"22 Aug 15",-26.31,0,0,0
"23 Aug 15",-30.32,0,0,0
"24 Aug 15",-35.34,0,0,0
"25 Aug 15",-40.9,0,0,0
"26 Aug 15",-45.51,0,0,0
"27 Aug 15",-46.51,0,0,0
"28 Aug 15",-48.2,0,0,0
"29 Aug 15",-49.35,0,0,0
"30 Aug 15",-44.3,0,0,0
"31 Aug 15",-42.27,0,0,0
"01 Sep 15",-0.78,0,0,0
"02 Sep 15",-4.28,0,0,0
"03 Sep 15",-8.98,0,0,0
"04 Sep 15",-15.82,0,0,0
"05 Sep 15",-20.71,0,0,0
"06 Sep 15",-26.35,0,0,0
"07 Sep 15",-29.08,0,0,0
"08 Sep 15",-31.41,0,0,0
"09 Sep 15",-36.34,0,0,0
"10 Sep 15",-39.56,0,0,0
"11 Sep 15",-42.05,0,0,0
"12 Sep 15",-46.79,0,0,0
"13 Sep 15",-49.95,0,0,0
"14 Sep 15",-52.79,0,0,0
"15 Sep 15",-53.05,0,0,0
"16 Sep 15",-50.79,0,0,0
"17 Sep 15",-49.57,0,0,0
"18 Sep 15",-48.75,0,0,0
"19 Sep 15",-49.31,0,0,0
"20 Sep 15",-44.06,0,0,0
"21 Sep 15",-38.29,0,0,0
"22 Sep 15",-35.39,0,0,0
"23 Sep 15",-32.82,0,0,0
"24 Sep 15",-34.37,0,0,0
"25 Sep 15",-37.73,0,0,0
"26 Sep 15",-40.42,0,0,0
"27 Sep 15",-44.47,0,0,0
"28 Sep 15",-47.65,0,0,0
"29 Sep 15",-50.99,0,0,0
"30 Sep 15",-53.14,0,0,0
"01 Oct 15",-2.03,0,0,0
"02 Oct 15",-4.14,0,0,0
"03 Oct 15",-6.24,0,0,0
"04 Oct 15",-7.9,0,0,0
"05 Oct 15",-8.92,0,0,0
"06 Oct 15",-10.67,0,0,0
"07 Oct 15",-13.23,0,0,0
"08 Oct 15",-13.96,0,0,0
